t,d,atr_m,rr,exit,trail_act,trail_dist,max_hold
2026.04.10 13:00,1,0.738479,2.0000,1,1.0000,0.5000,36
2026.04.15 09:00,1,0.700000,2.5000,1,1.0000,0.5000,36
2026.04.15 20:00,1,0.700000,2.5000,1,1.0000,0.5000,36
2026.04.21 09:00,1,0.700000,2.5000,1,1.0000,0.5000,36
2026.04.21 14:00,1,0.700000,2.5000,1,1.0000,0.5000,36
2026.04.23 09:00,1,0.738479,2.5000,1,1.0000,0.5000,36
2026.04.23 13:00,1,0.738479,2.5000,1,1.0000,0.5000,36
2026.04.27 20:00,1,0.738479,2.5000,1,1.0000,0.5000,36
2026.04.29 13:00,1,0.717175,3.0000,1,1.0000,0.5000,36
2026.05.01 09:00,1,0.717175,3.0000,1,1.0000,0.5000,36
2026.05.05 10:00,1,0.717175,3.0000,1,1.0000,0.5000,36
2026.05.05 17:00,1,0.717175,3.0000,1,1.0000,0.5000,36
2026.05.07 08:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2026.05.11 15:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2026.05.11 19:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2026.05.14 10:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2026.05.18 10:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2026.05.20 09:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2026.05.20 13:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2026.05.26 07:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2026.05.29 10:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2026.06.02 09:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2026.06.02 15:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2026.06.03 10:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2026.06.04 08:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2026.06.08 10:00,1,0.738479,3.0000,1,1.0000,0.5000,36
