datetime,open,high,low,close,volume
2024-06-12 16:00:00+00:00,1.08424,1.0848,1.08415,1.0844,11207.59
2024-06-12 17:00:00+00:00,1.08441,1.08458,1.08361,1.08385,7786.43
2024-06-12 18:00:00+00:00,1.08384,1.08417,1.08076,1.08117,81892.71
2024-06-12 19:00:00+00:00,1.08116,1.08181,1.08036,1.08065,23040.19
2024-06-12 20:00:00+00:00,1.08065,1.08116,1.0804,1.08087,2466.23
2024-06-12 21:00:00+00:00,1.08076,1.0815,1.08041,1.08125,3169.26
2024-06-12 22:00:00+00:00,1.08125,1.08147,1.081,1.08109,1866.14
2024-06-12 23:00:00+00:00,1.08108,1.0815,1.08105,1.08127,3652.58
2024-06-13 00:00:00+00:00,1.08126,1.08156,1.08105,1.08128,5365.6
2024-06-13 01:00:00+00:00,1.08128,1.08157,1.08038,1.08046,7361.83
2024-06-13 02:00:00+00:00,1.08045,1.08085,1.0804,1.0808,5564.23
2024-06-13 03:00:00+00:00,1.08079,1.08091,1.08055,1.08068,3960.84
2024-06-13 04:00:00+00:00,1.08068,1.08071,1.08031,1.08038,2732.71
2024-06-13 05:00:00+00:00,1.08039,1.0807,1.08004,1.08045,5171.57
2024-06-13 06:00:00+00:00,1.08046,1.0807,1.08007,1.08021,7645.28
2024-06-13 07:00:00+00:00,1.0802,1.08163,1.0802,1.08142,9851.88
2024-06-13 08:00:00+00:00,1.08141,1.08144,1.0805,1.08061,11687.15
2024-06-13 09:00:00+00:00,1.08061,1.08114,1.08017,1.08019,7533.07
2024-06-13 10:00:00+00:00,1.08018,1.08094,1.07931,1.07942,7869.16
2024-06-13 11:00:00+00:00,1.07941,1.07967,1.07826,1.07832,8702.66
2024-06-13 12:00:00+00:00,1.07832,1.08162,1.07806,1.07937,27102.85
2024-06-13 13:00:00+00:00,1.07938,1.08077,1.07858,1.07874,25907.73
2024-06-13 14:00:00+00:00,1.07874,1.07904,1.0763,1.07714,18736.94
2024-06-13 15:00:00+00:00,1.07714,1.07722,1.07533,1.07553,14550.0
2024-06-13 16:00:00+00:00,1.07553,1.07556,1.07328,1.07351,14124.46
2024-06-13 17:00:00+00:00,1.07351,1.0744,1.07351,1.07423,7783.16
2024-06-13 18:00:00+00:00,1.07423,1.0743,1.0736,1.07393,5730.06
2024-06-13 19:00:00+00:00,1.07392,1.0743,1.0738,1.07406,3403.58
2024-06-13 20:00:00+00:00,1.07405,1.07432,1.07367,1.07368,1848.77
2024-06-13 21:00:00+00:00,1.07361,1.07398,1.07335,1.07388,1395.9
2024-06-13 22:00:00+00:00,1.07387,1.07401,1.07351,1.07386,1646.62
2024-06-13 23:00:00+00:00,1.07387,1.07404,1.0737,1.07374,1840.41
2024-06-14 00:00:00+00:00,1.07374,1.07408,1.07362,1.07363,4765.16
2024-06-14 01:00:00+00:00,1.07363,1.07418,1.07353,1.07415,4470.47
2024-06-14 02:00:00+00:00,1.07415,1.07436,1.07401,1.0743,3802.36
2024-06-14 03:00:00+00:00,1.07428,1.07449,1.07381,1.07401,7766.41
